,ONA,ONB,combined
2022-10-07,-128.46,-200.57,-329.03
2022-10-10,0.0,0.0,0.0
2022-10-11,-55.1,-69.31,-124.41
2022-10-12,7.87,2.36,10.23
2022-10-13,-243.16,-396.01,-639.17
2022-10-14,89.6,148.45,238.04999999999998
2022-10-17,0.0,0.0,0.0
2022-10-18,253.68,467.49,721.1700000000001
2022-10-19,-121.91,-91.09,-213.0
2022-10-20,10.51,30.22,40.73
2022-10-21,22.0,-21.99,0.010000000000001563
2022-10-24,0.0,0.0,0.0
2022-10-25,2.77,-62.03,-59.26
2022-10-26,63.31,-40.44,22.870000000000005
2022-10-27,98.5,223.17,321.66999999999996
2022-10-28,46.91,83.96,130.87
2022-10-31,0.0,0.0,0.0
2022-11-01,119.77,134.16,253.93
2022-11-02,-56.19,-71.16,-127.35
2022-11-03,-153.44,-150.98,-304.41999999999996
2022-11-04,163.19,263.86,427.05
2022-11-07,0.0,0.0,0.0
2022-11-08,36.07,70.83,106.9
2022-11-09,-108.92,-142.82,-251.74
2022-11-10,491.83,624.93,1116.76
2022-11-11,22.66,58.65,81.31
2022-11-14,0.0,0.0,0.0
2022-11-15,184.25,183.57,367.82
2022-11-16,-70.97,-41.72,-112.69
2022-11-17,-173.89,-233.35,-407.24
2022-11-18,125.49,91.0,216.49
2022-11-21,0.0,0.0,0.0
2022-11-22,61.72,122.83,184.55
2022-11-23,-36.36,-22.26,-58.620000000000005
2022-11-25,-10.37,1.34,-9.03
2022-11-28,0.0,0.0,0.0
2022-11-29,5.28,-40.77,-35.49
2022-11-30,14.47,6.12,20.59
2022-12-01,45.53,37.21,82.74000000000001
2022-12-02,-171.33,-236.42,-407.75
2022-12-05,0.0,0.0,0.0
2022-12-06,-1.97,-16.91,-18.88
2022-12-07,-26.65,-25.29,-51.94
2022-12-08,71.46,87.51,158.97
2022-12-09,-74.31,-55.72,-130.03
2022-12-12,0.0,0.0,0.0
2022-12-13,322.5,505.0,827.5
2022-12-14,-9.92,-6.73,-16.65
2022-12-15,-145.19,-250.11,-395.3
2022-12-16,-122.21,-245.34,-367.55
2022-12-19,0.0,0.0,0.0
2022-12-20,-29.99,9.83,-20.159999999999997
2022-12-21,99.22,217.88,317.1
2022-12-22,-106.45,-148.9,-255.35000000000002
2022-12-23,-13.82,-49.44,-63.26
2022-12-27,0.0,0.0,0.0
2022-12-28,-9.0,20.07,11.07
2022-12-29,78.8,130.17,208.96999999999997
2022-12-30,-109.09,-109.4,-218.49
2023-01-03,0.0,0.0,0.0
2023-01-04,83.05,94.09,177.14
2023-01-05,-71.75,-114.1,-185.85
2023-01-06,107.77,200.47,308.24
2023-01-09,0.0,0.0,0.0
2023-01-10,-20.91,-26.75,-47.66
2023-01-11,42.53,78.44,120.97
2023-01-12,50.88,63.63,114.51
2023-01-13,-91.03,-193.01,-284.03999999999996
2023-01-17,0.0,0.0,0.0
2023-01-18,35.96,22.38,58.34
2023-01-19,-74.41,-133.99,-208.4
2023-01-20,40.21,5.56,45.77
2023-01-23,0.0,0.0,0.0
2023-01-24,-55.06,-85.52,-140.57999999999998
2023-01-25,-99.51,-198.53,-298.04
2023-01-26,92.81,72.27,165.07999999999998
2023-01-27,-41.36,-2.03,-43.39
2023-01-30,0.0,0.0,0.0
2023-01-31,23.1,36.84,59.940000000000005
2023-02-01,-23.81,-120.1,-143.91
2023-02-02,88.83,26.98,115.81
2023-02-03,-141.52,-115.52,-257.04
2023-02-06,0.0,0.0,0.0
2023-02-07,-50.06,-124.25,-174.31
2023-02-08,-78.53,-84.18,-162.71
2023-02-09,92.16,158.54,250.7
2023-02-10,-47.37,-29.68,-77.05
2023-02-13,0.0,0.0,0.0
2023-02-14,-87.21,-74.52,-161.73
2023-02-15,-100.33,-116.63,-216.95999999999998
2023-02-16,-171.48,-214.75,-386.23
