day,side,notional,entry_ts,entry_s,exit_ts,exit_s,pnl,reason_out,costs,qty
2023-02-03,-1,60000,2023-02-03 09:30:00-06:00,0.00797,2023-02-03 14:52:00-06:00,0.00219,329.78,flatten,20.37,1
2023-02-07,-1,56509,2023-02-07 12:00:00-06:00,0.00531,2023-02-07 12:30:00-06:00,0.00107,243.63,reverted,19.22,1
2023-02-08,1,58872,2023-02-08 10:00:00-06:00,-0.00649,2023-02-08 14:52:00-06:00,-0.00758,-29.09,flatten,20.16,1
2023-02-14,-1,60000,2023-02-14 09:30:00-06:00,0.00424,2023-02-14 14:52:00-06:00,0.00906,-264.43,flatten,20.52,1
2023-02-23,1,60000,2023-02-23 09:30:00-06:00,-0.00372,2023-02-23 13:30:00-06:00,-0.00137,140.13,reverted,21.16,1
2023-03-01,1,60000,2023-03-01 09:30:00-06:00,-0.00457,2023-03-01 14:52:00-06:00,-0.00556,-63.05,flatten,21.51,1
2023-03-03,-1,60000,2023-03-03 09:30:00-06:00,0.00327,2023-03-03 14:52:00-06:00,0.00346,7.73,flatten,21.11,1
2023-03-06,-1,60000,2023-03-06 10:00:00-06:00,0.00361,2023-03-06 12:00:00-06:00,0.00096,160.99,reverted,20.8,1
2023-03-07,-1,60000,2023-03-07 11:30:00-06:00,0.00502,2023-03-07 14:52:00-06:00,0.00281,152.05,flatten,21.09,1
2023-03-09,-1,60000,2023-03-09 09:30:00-06:00,0.00437,2023-03-09 13:00:00-06:00,0.00087,217.56,reverted,21.1,1
2023-03-13,-1,60000,2023-03-13 11:00:00-05:00,0.00429,2023-03-13 14:52:00-05:00,0.00475,-91.44,flatten,21.66,1
2023-03-14,-1,60000,2023-03-14 09:30:00-05:00,0.00387,2023-03-14 12:00:00-05:00,0.00686,-173.4,stop,21.45,1
2023-03-15,-1,60000,2023-03-15 14:00:00-05:00,0.00569,2023-03-15 14:52:00-05:00,0.00524,45.1,flatten,21.53,1
2023-03-16,-1,60000,2023-03-16 10:30:00-05:00,0.00402,2023-03-16 14:52:00-05:00,0.00574,-98.37,flatten,21.24,1
2023-03-17,-1,60000,2023-03-17 09:30:00-05:00,0.0034,2023-03-17 11:30:00-05:00,0.00115,138.99,reverted,21.25,1
2023-03-20,1,60000,2023-03-20 09:30:00-05:00,-0.00541,2023-03-20 14:52:00-05:00,-0.00193,219.54,flatten,21.27,1
2023-03-22,-1,58757,2023-03-22 13:30:00-05:00,0.00561,2023-03-22 14:52:00-05:00,0.00278,118.8,flatten,20.36,1
2023-03-24,1,60000,2023-03-24 11:30:00-05:00,-0.00522,2023-03-24 14:52:00-05:00,-0.0046,32.4,flatten,21.16,1
2023-03-27,1,58956,2023-03-27 11:00:00-05:00,-0.00536,2023-03-27 14:52:00-05:00,-0.00516,29.85,flatten,20.67,1
2023-03-28,1,60000,2023-03-28 09:30:00-05:00,-0.00578,2023-03-28 14:52:00-05:00,-0.00314,141.52,flatten,21.08,1
2023-04-05,1,60000,2023-04-05 09:30:00-05:00,-0.00487,2023-04-05 14:52:00-05:00,-0.00651,-90.87,flatten,20.47,1
2023-04-06,-1,53602,2023-04-06 11:30:00-05:00,0.00569,2023-04-06 14:52:00-05:00,0.00625,-45.14,flatten,18.23,1
2023-04-13,-1,60000,2023-04-13 09:30:00-05:00,0.00406,2023-04-13 14:52:00-05:00,0.00381,13.17,flatten,20.33,1
2023-05-10,-1,60000,2023-05-10 09:30:00-05:00,0.00641,2023-05-10 14:52:00-05:00,0.00582,29.4,flatten,20.12,1
2023-05-26,-1,60000,2023-05-26 09:30:00-05:00,0.00372,2023-05-26 10:00:00-05:00,0.00702,-196.41,stop,19.49,1
2023-06-02,1,60000,2023-06-02 09:30:00-05:00,-0.00362,2023-06-02 14:52:00-05:00,-0.00552,-129.42,flatten,19.14,1
2023-06-05,-1,60000,2023-06-05 09:30:00-05:00,0.00364,2023-06-05 14:52:00-05:00,0.00413,-7.76,flatten,19.03,1
2023-06-07,1,60000,2023-06-07 10:00:00-05:00,-0.00635,2023-06-07 11:30:00-05:00,-0.01037,-241.16,stop,19.1,1
2023-06-08,-1,60000,2023-06-08 09:30:00-05:00,0.00342,2023-06-08 10:30:00-05:00,0.00673,-199.54,stop,19.13,1
2023-06-09,-1,60000,2023-06-09 09:30:00-05:00,0.00306,2023-06-09 10:00:00-05:00,-0.00075,228.02,reverted,18.89,1
2023-06-13,1,60000,2023-06-13 09:30:00-05:00,-0.00778,2023-06-13 14:52:00-05:00,-0.00316,271.61,flatten,18.71,1
2023-06-21,1,60000,2023-06-21 09:30:00-05:00,-0.00455,2023-06-21 10:00:00-05:00,-0.00739,-173.7,stop,18.68,1
2023-06-22,-1,60000,2023-06-22 09:30:00-05:00,0.0065,2023-06-22 14:52:00-05:00,0.00935,-166.37,flatten,18.65,1
2023-06-26,1,51977,2023-06-26 11:30:00-05:00,-0.00728,2023-06-26 14:52:00-05:00,-0.00909,-42.03,flatten,16.32,1
2023-06-28,-1,60000,2023-06-28 09:30:00-05:00,0.00635,2023-06-28 14:52:00-05:00,0.00408,111.0,flatten,18.65,1
2023-06-29,1,60000,2023-06-29 09:30:00-05:00,-0.00533,2023-06-29 14:52:00-05:00,-0.00608,-41.14,flatten,18.65,1
2023-08-21,-1,60000,2023-08-21 09:30:00-05:00,0.00364,2023-08-21 12:00:00-05:00,0.00681,-191.14,stop,18.7,1
2023-08-23,-1,60000,2023-08-23 09:30:00-05:00,0.00409,2023-08-23 14:52:00-05:00,0.00408,-32.81,flatten,18.45,1
2023-08-24,1,60000,2023-08-24 09:30:00-05:00,-0.01145,2023-08-24 14:52:00-05:00,-0.01386,-133.01,flatten,18.44,1
2023-08-29,-1,60000,2023-08-29 09:30:00-05:00,0.0066,2023-08-29 14:52:00-05:00,0.00749,-70.15,flatten,18.24,1
2023-09-05,-1,58603,2023-09-05 12:00:00-05:00,0.00552,2023-09-05 14:52:00-05:00,0.00673,-35.35,flatten,17.6,1
2023-09-28,-1,60000,2023-09-28 11:00:00-05:00,0.00518,2023-09-28 14:52:00-05:00,0.00395,48.41,flatten,18.92,1
2023-10-04,-1,60000,2023-10-04 09:30:00-05:00,0.00249,2023-10-04 11:00:00-05:00,0.00515,-160.26,stop,19.25,1
2023-10-06,-1,60000,2023-10-06 09:30:00-05:00,0.00467,2023-10-06 14:52:00-05:00,0.00737,-148.08,flatten,19.13,1
2023-10-13,1,60000,2023-10-13 10:30:00-05:00,-0.00478,2023-10-13 14:52:00-05:00,-0.00599,-52.09,flatten,18.72,1
2023-10-23,-1,60000,2023-10-23 11:30:00-05:00,0.00454,2023-10-23 14:52:00-05:00,0.0048,-22.52,flatten,19.15,1
2023-10-25,1,60000,2023-10-25 10:30:00-05:00,-0.0046,2023-10-25 13:00:00-05:00,-0.00757,-176.13,stop,19.27,1
2023-10-26,1,60000,2023-10-26 09:30:00-05:00,-0.00463,2023-10-26 11:30:00-05:00,-0.00761,-174.3,stop,19.58,1
2023-10-27,-1,60000,2023-10-27 09:30:00-05:00,0.00426,2023-10-27 14:52:00-05:00,0.00547,-61.81,flatten,19.65,1
2023-11-02,1,60000,2023-11-02 09:30:00-05:00,-0.00331,2023-11-02 14:52:00-05:00,-0.00449,-66.37,flatten,18.91,1
2023-11-07,-1,60000,2023-11-07 10:00:00-06:00,0.00388,2023-11-07 14:52:00-06:00,0.00376,-14.48,flatten,18.46,1
2023-11-10,-1,60000,2023-11-10 09:30:00-06:00,0.00314,2023-11-10 11:00:00-06:00,0.00617,-179.95,stop,18.55,1
2023-11-20,-1,60000,2023-11-20 12:30:00-06:00,0.00394,2023-11-20 14:52:00-06:00,0.00385,20.08,flatten,17.74,1
2024-02-02,-1,60000,2024-02-02 10:30:00-06:00,0.00262,2024-02-02 14:52:00-06:00,0.00316,-26.88,flatten,16.28,1
2024-02-06,1,60000,2024-02-06 09:30:00-06:00,-0.00459,2024-02-06 11:00:00-06:00,-0.00642,-111.73,stop,16.31,1
2024-02-13,-1,60000,2024-02-13 09:30:00-06:00,0.00572,2024-02-13 14:52:00-06:00,0.00365,125.44,flatten,16.21,1
2024-02-15,1,60000,2024-02-15 09:30:00-06:00,-0.00468,2024-02-15 14:52:00-06:00,-0.00389,61.47,flatten,16.08,1
2024-02-16,1,60000,2024-02-16 09:30:00-06:00,-0.00605,2024-02-16 14:52:00-06:00,-0.00557,4.12,flatten,16.08,1
2024-02-20,1,60000,2024-02-20 09:30:00-06:00,-0.00563,2024-02-20 14:52:00-06:00,-0.00086,290.07,flatten,16.25,1
2024-03-01,-1,60000,2024-03-01 10:30:00-06:00,0.00366,2024-03-01 13:00:00-06:00,0.00645,-166.39,stop,15.72,1
2024-03-05,1,60000,2024-03-05 09:30:00-06:00,-0.00586,2024-03-05 14:52:00-06:00,-0.00508,17.24,flatten,15.84,1
2024-03-07,-1,60000,2024-03-07 11:00:00-06:00,0.00362,2024-03-07 14:52:00-06:00,0.0036,-9.6,flatten,15.61,1
2024-03-08,1,60000,2024-03-08 10:30:00-06:00,-0.00528,2024-03-08 12:00:00-06:00,-0.0083,-186.55,stop,15.64,1
2024-03-13,1,60000,2024-03-13 09:30:00-05:00,-0.00329,2024-03-13 14:52:00-05:00,-0.00329,11.12,flatten,15.63,1
2024-03-15,1,60000,2024-03-15 09:30:00-05:00,-0.00257,2024-03-15 14:52:00-05:00,-0.00409,-95.07,flatten,15.82,1
2024-03-20,1,60000,2024-03-20 10:00:00-05:00,-0.00316,2024-03-20 13:30:00-05:00,-0.00065,150.78,reverted,15.67,1
2024-04-17,1,60000,2024-04-17 09:30:00-05:00,-0.00262,2024-04-17 12:00:00-05:00,-0.00543,-164.55,stop,16.0,1
2024-04-19,1,60000,2024-04-19 09:30:00-05:00,-0.00479,2024-04-19 11:00:00-05:00,-0.007,-129.57,stop,16.27,1
2024-04-22,1,60000,2024-04-22 09:30:00-05:00,-0.0027,2024-04-22 12:30:00-05:00,-0.00118,91.22,reverted,16.37,1
2024-04-23,-1,60000,2024-04-23 09:30:00-05:00,0.00286,2024-04-23 14:52:00-05:00,0.00271,-21.59,flatten,16.08,1
2024-04-25,-1,60000,2024-04-25 09:30:00-05:00,0.00376,2024-04-25 14:52:00-05:00,0.00371,33.64,flatten,16.22,1
2024-04-26,-1,60000,2024-04-26 10:00:00-05:00,0.00399,2024-04-26 14:52:00-05:00,0.00426,-28.39,flatten,15.9,1
2024-05-08,-1,60000,2024-05-08 09:30:00-05:00,0.00343,2024-05-08 14:52:00-05:00,0.00178,128.99,flatten,15.62,1
